Variable Name,context,Item_content,Responses,Domain,Sub-Domain,min_response,max_response,order
clinic01,,Have you ever been told by a doctor or a health professional that you have high blood pressure (hypertension)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic02,,Are any of your current activities limited by your high blood pressure (hypertension)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic03,,Have you ever been told by a doctor or a health professional that you had chest pain (angina)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic04,,Are any of your current activities limited by your chest pain (angina)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic05,,Have you ever been told by a doctor or a health professional that you have hardening of the arteries (coronary artery disease)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic06,,Are any of your current activities limited by your hardening of the arteries (coronary artery disease)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic07,,Have you ever been told by a doctor or a health professional that you have heart failure or congestive heart failure?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic08,,Are any of your current activities limited by your heart failure or congestive heart failure?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic09,,Have you ever been told by a doctor or a health professional that you had a heart attack (myocardial infarction)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic10,,Are any of your current activities limited by your heart attack (myocardial infarction)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic11,,Have you ever been told by a doctor or a health professional that you had a stroke or transient ischemic attack (TIA)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic12,,Are any of your current activities limited by your stroke or transient ischemic attack (TIA)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic14,,"Compare your overall symptoms now with what you experienced one year ago. Is your stroke or TIA better, worse or about the same?","1=Better
2=About the same
3=Worse",clinic,,1,3,0.0
clinic15,,"Have you ever been told by a doctor or a health professional that you have liver disease, hepatitis, or cirrhosis?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic16,,"Are any of your current activities limited by your liver disease, hepatitis, or cirrhosis?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic17,,Have you ever been told by a doctor or a health professional that you have kidney disease?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic18,,Are any of your current activities limited by your kidney disease?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic19,,Have you ever been told by a doctor or a health professional that you have arthritis or rheumatism?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic20,,Are any of your current activities limited by your arthritis or rheumatism?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic119,,Have you ever been told by a doctor or a health professional that you have osteoarthritis or degenerative arthritis?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic120,,Are any of your current activities limited by your osteoarthritis or degenerative arthritis?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic21,,Have you ever been told by a doctor or a health professional that you have migraines or severe headaches?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic22,,Are any of your current activities limited by your migraines or severe headaches?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic23,,Have you ever been told by a doctor or a health professional that you have asthma?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic24,,Are any of your current activities limited by your asthma?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic25,,Have you ever been told by a doctor or a health professional that you have chronic lung disease (COPD) or chronic bronchitis or emphysema?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic26,,Are any of your current activities limited by your chronic lung disease (COPD) or chronic bronchitis or emphysema?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic28,,Do you take medicines for your lungs (like inhalers/puffers)?,0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic29,,Have you ever been hospitalized because of your lung problems?,0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic30,,Statement about breathness that most applies,"0=No breathlessness
1=Only breathless after exercise
2 Breathless when hurry or on in
3 Have to stop or walk slower
4 Have to stop even on level ground
5 Cannot leave the house",clinic,,0,1,0.0
clinic31,,Have you ever been told by a doctor or a health professional that you have diabetes or high blood sugar or sugar in your urine?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic32,,Are any of your current activities limited by your diabetes or high blood sugar or sugar in your urine?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic34,,"Has your diabetes caused a problem for any of the following parts of your body: eyes, kidneys or feet?",0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic35,,Have you ever been hospitalized because of your diabetes?,0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic36,,Have you ever been told by a doctor or a health professional that you have cancer (other than non-melanoma skin cancer)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic37,,Are any of your current activities limited by your cancer (other than non-melanoma skin cancer)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic39,,Please indicate which statement below best describes your current activity level,"0=I have normal activity, without symptoms 1=I have some symptoms, but do not require bed rest during the waking day 2=I require bed rest for less than 50% of the waking day 3=I require bed rest for more than 50% of the waking day 4=I am unable to get out of bed",clinic,,0,4,0.0
clinic40,,"Have you had a recurrence of your cancer (i.e., has your cancer come back)?",0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic41,,Has your cancer spread to any lymph nodes?,0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic42,,Has your cancer spread to another part of your body (other than to any lymph nodes)?,0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic43,,"Do you currently have any numbness, tingling, or pain in your hands or feet?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic44,,Have you ever been told by a doctor or a health professional that you have depression?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic45,,Are any of your current activities limited by your depression?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic46,,"Have you received treatment from a mental health specialist (for example a psychiatrist, psychologist, social worker, or other therapist) for your depression?",0=No 1=Yes,clinic,,0,1,0.0
clinic47,,To what extent does your depression interfere with your relationships with family or friends?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,,0,4,0.0
clinic48,,To what extent does your depression interfere with maintaining your responsibilities at work or at home?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,,0,4,0.0
clinic49,,Have you ever been told by a doctor or a health professional that you have anxiety?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic50,,Are any of your current activities limited by your anxiety?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic51,,"Have you received treatment from a mental health specialist (for example a psychiatrist, psychologist, social worker, or other therapist) for your anxiety?",0=No 1=Yes,clinic,,0,1,0.0
clinic52,,To what extent does your anxiety interfere with your relationships with family or friends?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,,0,4,0.0
clinic53,,To what extent does your anxiety interfere with maintaining your responsibilities at work or at home?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,,0,4,0.0
clinic54,,Have you ever been told by a doctor or a health professional that you have an alcohol or drug problem?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic55,,Are any of your current activities limited by your alcohol or drug problem?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic56,,"Have you received treatment from a mental health specialist (for example a psychiatrist, psychologist, social worker, or other therapist) for your alcohol or drug problem?",0=No 1=Yes,clinic,,0,1,0.0
clinic57,,To what extent does your alcohol or drug problem interfere with your relationships with family and friends?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,,0,4,0.0
clinic58,,To what extent does your alcohol or drug problem interfere with maintaining your responsibilities at work or at home?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,,0,4,0.0
clinic59,,Have you ever been told by a doctor or a health professional that you have a sleep disorder?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic60,,Are any of your current activities limited by your sleep disorder?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic62,,Has your sleep disorder been treated?,0=No 1=Yes .D=Not Sure,clinic,,0,1,0.0
clinic64,,Did the treatment help you?,4=Not at all 3=A little bit 2=Somewhat 1= Quite a bit 0=Very much,clinic,,0,4,0.0
