Variable Name,context,Item_content,Responses,Domain,Sub-Domain
clinic01,,Have you ever been told by a doctor or a health professional that you have high blood pressure (hypertension)?,0 = No 1 = Yes,clinic,
clinic02,,Are any of your current activities limited by your high blood pressure (hypertension)?,0 = No 1 = Yes,clinic,
clinic03,,Have you ever been told by a doctor or a health professional that you had chest pain (angina)?,0 = No 1 = Yes,clinic,
clinic04,,Are any of your current activities limited by your chest pain (angina)?,0 = No 1 = Yes,clinic,
clinic05,,Have you ever been told by a doctor or a health professional that you have hardening of the arteries (coronary artery disease)?,0 = No 1 = Yes,clinic,
clinic06,,Are any of your current activities limited by your hardening of the arteries (coronary artery disease)?,0 = No 1 = Yes,clinic,
clinic07,,Have you ever been told by a doctor or a health professional that you have heart failure or congestive heart failure?,0 = No 1 = Yes,clinic,
clinic08,,Are any of your current activities limited by your heart failure or congestive heart failure?,0 = No 1 = Yes,clinic,
clinic09,,Have you ever been told by a doctor or a health professional that you had a heart attack (myocardial infarction)?,0 = No 1 = Yes,clinic,
clinic10,,Are any of your current activities limited by your heart attack (myocardial infarction)?,0 = No 1 = Yes,clinic,
clinic11,,Have you ever been told by a doctor or a health professional that you had a stroke or transient ischemic attack (TIA)?,0 = No 1 = Yes,clinic,
clinic12,,Are any of your current activities limited by your stroke or transient ischemic attack (TIA)?,0 = No 1 = Yes,clinic,
clinic13,,How many years ago have you had stroke or transient ischemic attack (TIA)?,textbox=textbox,clinic,
clinic14,,"Compare your overall symptoms now with what you experienced one year ago. Is your stroke or TIA better, worse or about the same?","1=Better
2=About the same
3=Worse",clinic,
clinic15,,"Have you ever been told by a doctor or a health professional that you have liver disease, hepatitis, or cirrhosis?",0 = No 1 = Yes,clinic,
clinic16,,"Are any of your current activities limited by your liver disease, hepatitis, or cirrhosis?",0 = No 1 = Yes,clinic,
clinic17,,Have you ever been told by a doctor or a health professional that you have kidney disease?,0 = No 1 = Yes,clinic,
clinic18,,Are any of your current activities limited by your kidney disease?,0 = No 1 = Yes,clinic,
clinic19,,Have you ever been told by a doctor or a health professional that you have arthritis or rheumatism?,0 = No 1 = Yes,clinic,
clinic20,,Are any of your current activities limited by your arthritis or rheumatism?,0 = No 1 = Yes,clinic,
clinic119,,Have you ever been told by a doctor or a health professional that you have osteoarthritis or degenerative arthritis?,0 = No 1 = Yes,clinic,
clinic120,,Are any of your current activities limited by your osteoarthritis or degenerative arthritis?,0 = No 1 = Yes,clinic,
clinic21,,Have you ever been told by a doctor or a health professional that you have migraines or severe headaches?,0 = No 1 = Yes,clinic,
clinic22,,Are any of your current activities limited by your migraines or severe headaches?,0 = No 1 = Yes,clinic,
clinic23,,Have you ever been told by a doctor or a health professional that you have asthma?,0 = No 1 = Yes,clinic,
clinic24,,Are any of your current activities limited by your asthma?,0 = No 1 = Yes,clinic,
clinic25,,Have you ever been told by a doctor or a health professional that you have chronic lung disease (COPD) or chronic bronchitis or emphysema?,0 = No 1 = Yes,clinic,
clinic26,,Are any of your current activities limited by your chronic lung disease (COPD) or chronic bronchitis or emphysema?,0 = No 1 = Yes,clinic,
clinic27,,How many years have you had trouble with your breathing (lungs)?,textbox=textbox,clinic,
clinic28,,Do you take medicines for your lungs (like inhalers/puffers)?,0=No 1=Yes .D=Not Sure,clinic,
clinic29,,Have you ever been hospitalized because of your lung problems?,0=No 1=Yes .D=Not Sure,clinic,
clinic30,,Statement about breathness that most applies,"0=No breathlessness
1=Only breathless after exercise
2 Breathless when hurry or on in
3 Have to stop or walk slower
4 Have to stop even on level ground
5 Cannot leave the house",clinic,
clinic31,,Have you ever been told by a doctor or a health professional that you have diabetes or high blood sugar or sugar in your urine?,0 = No 1 = Yes,clinic,
clinic32,,Are any of your current activities limited by your diabetes or high blood sugar or sugar in your urine?,0 = No 1 = Yes,clinic,
clinic33,,How many years have you had diabetes?,textbox=textbox,clinic,
clinic34,,"Has your diabetes caused a problem for any of the following parts of your body: eyes, kidneys or feet?",0=No 1=Yes .D=Not Sure,clinic,
clinic35,,Have you ever been hospitalized because of your diabetes?,0=No 1=Yes .D=Not Sure,clinic,
clinic36,,Have you ever been told by a doctor or a health professional that you have cancer (other than non-melanoma skin cancer)?,0 = No 1 = Yes,clinic,
clinic37,,Are any of your current activities limited by your cancer (other than non-melanoma skin cancer)?,0 = No 1 = Yes,clinic,
clinic38,,"Please select your ""primary"" cancer diagnosis from the list below (usually where the cancer started)","1=Bone/muscle (e.g. Sarcoma)
2=Brain
3=Breast
4=Colon or Rectum
5=Esophagus or Stomach
6=Gynecologic (e.g. Cervical, Ovarian, Uterine)
7=Head/Neck
8=Hodgkin's Lymphoma
9=Leukemia
10=Liver
11=Lung
12=Melanoma
13 =Multiple Myeloma
14=Non-Hodgkin's Lymphoma
15=Non Melanoma Skin
16=Pancreas
17=Prostate
18=Urologic(e.g. Bladder, Kidney, Testis)
19=Unknown or Other",clinic,
clinic39,,Please indicate which statement below best describes your current activity level,"0=I have normal activity, without symptoms 1=I have some symptoms, but do not require bed rest during the waking day 2=I require bed rest for less than 50% of the waking day 3=I require bed rest for more than 50% of the waking day 4=I am unable to get out of bed",clinic,
clinic40,,"Have you had a recurrence of your cancer (i.e., has your cancer come back)?",0=No 1=Yes .D=Not Sure,clinic,
clinic41,,Has your cancer spread to any lymph nodes?,0=No 1=Yes .D=Not Sure,clinic,
clinic42,,Has your cancer spread to another part of your body (other than to any lymph nodes)?,0=No 1=Yes .D=Not Sure,clinic,
clinic43,,"Do you currently have any numbness, tingling, or pain in your hands or feet?",0 = No 1 = Yes,clinic,
clinic44,,Have you ever been told by a doctor or a health professional that you have depression?,0 = No 1 = Yes,clinic,
clinic45,,Are any of your current activities limited by your depression?,0 = No 1 = Yes,clinic,
clinic46,,"Have you received treatment from a mental health specialist (for example a psychiatrist, psychologist, social worker, or other therapist) for your depression?",0=No 1=Yes,clinic,
clinic47,,To what extent does your depression interfere with your relationships with family or friends?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,
clinic48,,To what extent does your depression interfere with maintaining your responsibilities at work or at home?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,
clinic49,,Have you ever been told by a doctor or a health professional that you have anxiety?,0 = No 1 = Yes,clinic,
clinic50,,Are any of your current activities limited by your anxiety?,0 = No 1 = Yes,clinic,
clinic51,,"Have you received treatment from a mental health specialist (for example a psychiatrist, psychologist, social worker, or other therapist) for your anxiety?",0=No 1=Yes,clinic,
clinic52,,To what extent does your anxiety interfere with your relationships with family or friends?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,
clinic53,,To what extent does your anxiety interfere with maintaining your responsibilities at work or at home?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,
clinic54,,Have you ever been told by a doctor or a health professional that you have an alcohol or drug problem?,0 = No 1 = Yes,clinic,
clinic55,,Are any of your current activities limited by your alcohol or drug problem?,0 = No 1 = Yes,clinic,
clinic56,,"Have you received treatment from a mental health specialist (for example a psychiatrist, psychologist, social worker, or other therapist) for your alcohol or drug problem?",0=No 1=Yes,clinic,
clinic57,,To what extent does your alcohol or drug problem interfere with your relationships with family and friends?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,
clinic58,,To what extent does your alcohol or drug problem interfere with maintaining your responsibilities at work or at home?,0=Not at all 1=A little bit 2=Somewhat 3= Quite a bit 4=Very much,clinic,
clinic59,,Have you ever been told by a doctor or a health professional that you have a sleep disorder?,0 = No 1 = Yes,clinic,
clinic60,,Are any of your current activities limited by your sleep disorder?,0 = No 1 = Yes,clinic,
