,postcovid,promis,movielens,portrait
SVD_sklearn,"{'n_iter': 5, 'solver': 'randomized', 'imputer_strat': 'mean'}","{'n_iter': 10, 'solver': 'randomized', 'imputer_strat': 'mean'}","{'n_iter': 166, 'solver': 'randomized', 'imputer_strat': 'mean'}","{'n_iter': 29, 'solver': 'randomized', 'imputer_strat': 'mean'}"
NMF_cornac,"{'learning_rate': 0.004934238938908639, 'lambda': 0.00038546497365975256}","{'learning_rate': 0.002311750443313692, 'lambda': 1.5712293381342604e-05}","{'learning_rate': 0.004853948265881422, 'lambda': 0.00043101471249076297}","{'learning_rate': 0.0021794853748827816, 'lambda': 0.0004018042616890378}"
PMF_cornac,"{'learning_rate': 0.011146342469909662, 'lambda': 1.2826613939690404e-05}","{'learning_rate': 0.00014983550357184377, 'lambda': 2.2154296429149616e-07}","{'learning_rate': 0.00040100612946336134, 'lambda': 6.586486800721637e-07}","{'learning_rate': 0.00022355184668468713, 'lambda': 2.6618493249946634e-06}"
GCMC_cornac,"{'learning_rate': 0.014150005315573384, 'activation_func': 'tanh'}","{'learning_rate': 0.018840700256328537, 'activation_func': 'relu'}","{'learning_rate': 0.020959603502670534, 'activation_func': 'tanh'}","{'learning_rate': 0.01414135165067625, 'activation_func': 'relu'}"
SVD_cornac,,,,
,,,,
,,,,
,postcovid,promis,movielens,portrait
SVD_cornac,"{'learning_rate': 0.004959221157122188, 'lambda': 0.0002606804663356278}","{'learning_rate': 0.002391348740566009, 'lambda': 5.426232705156827e-06}","{'learning_rate': 0.005185724824530027, 'lambda': 0.00011734346045758358}","{'learning_rate': 0.00224290865727523, 'lambda': 0.0001568500571633165}"
NMF_cornac,"{'learning_rate': 0.004846076751093196, 'lambda': 2.029226713296277e-06}","{'learning_rate': 0.0025687828105686265, 'lambda': 0.0003248006349195869}","{'learning_rate': 0.0052944297626292556, 'lambda': 1.0738092286961254e-05}","{'learning_rate': 0.0022501375477321137, 'lambda': 3.0882477031631676e-06}"
GCMC_cornac,"{'learning_rate': 0.0014574782209241602, 'activation_func': 'tanh'}","{'learning_rate': 0.020316561154947423, 'activation_func': 'relu'}","{'learning_rate': 0.018919782808417118, 'activation_func': 'tanh'}","{'learning_rate': 0.015407479730020724, 'activation_func': 'tanh'}"
PMF_cornac,"{'learning_rate': 0.0005834613738395435, 'lambda': 0.00048822958096564117}","{'learning_rate': 0.00015956636281985474, 'lambda': 1.5925323720405057e-07}","{'learning_rate': 0.0004200246882058506, 'lambda': 1.2785987053865736e-05}","{'learning_rate': 0.0002533093392391089, 'lambda': 0.0002927568103138636}"
IMPACT,"{'learning_rate': 0.015752615679345775, 'lambda': 3.6685209563811393e-06, 'd_in': 9, 'num_responses': 9}","{'learning_rate': 0.012271782579704118, 'lambda': 1.1086824114584711e-07, 'd_in': 6, 'num_responses': 13}","{'learning_rate': 0.025150533681857202, 'lambda': 2.17869788814158e-07, 'd_in': 10, 'num_responses': 12}","{'learning_rate': 0.045678619907624333, 'lambda': 2.3278661392359483e-07, 'd_in': 6, 'num_responses': 12}"
Bivaecf,"{'learning_rate': 1.921456798165701e-05, 'lambda': 6.877882920994505e-06, 'd1': 15, 'd2': 11, 'beta_kl': 0.6884488800135659}","{'learning_rate': 1.1198839684613114e-05, 'lambda': 2.1393316667702404e-06, 'd1': 10, 'd2': 40, 'beta_kl': 0.06553779951162632}","{'learning_rate': 1.0065690389960444e-05, 'lambda': 1.0819097774073057e-06, 'd1': 29, 'd2': 19, 'beta_kl': 0.25967102205719556}","{'learning_rate': 1.213430962266741e-05, 'lambda': 1.1209557547672895e-05, 'd1': 22, 'd2': 17, 'beta_kl': 0.26243917858280136}"
DeepMTP,"{'learning_rate': 0.008325267407515206, 'lambda': 1.306788718843493e-07}","{'learning_rate': 0.0002747963529615113, 'lambda': 3.08738237907644e-07}","{'learning_rate': 0.0015278332149696562, 'lambda': 5.016319488695217e-07}","{'learning_rate': 0.007347706280250768, 'lambda': 1.2531213523934638e-07}"
