,rmse_avg,rmse_std,mae_avg,mae_std,r2,r2_std,pc-er_avg,pc-er_std,doa,doa_std,rm,rm_std,d_in,num_responses,exec_time,exec_time_avg,exec_time_std
0,0.2813,0.0022,0.2027,0.002,0.2639,0.0132,0.475,0.0093,0.6516,0.0033,0.4833,0.0103,2.0,10.0,,,
1,0.2821,0.0021,0.2033,0.0018,0.2593,0.0131,0.4743,0.0086,0.6512,0.003,0.4823,0.0094,2.0,10.0,859.8416657447815,859.8416657447815,171.88711878970435
2,0.2789,0.0016,0.1931,0.0015,0.2762,0.0114,0.481,0.0081,0.6538,0.0026,0.4912,0.0085,4.0,10.0,295.2695980072021,295.2695980072021,58.94686556853385
3,0.2798,0.0007,0.1926,0.0011,0.2717,0.006,0.4827,0.0076,0.6541,0.0025,0.4928,0.0077,6.0,10.0,291.7658257484436,291.7658257484436,58.35824619136572
4,0.2799,0.0022,0.1927,0.0012,0.2708,0.0135,0.4833,0.0079,0.6543,0.0024,0.4938,0.0083,8.0,10.0,319.9906289577484,319.9906289577484,64.22896259764849
5,0.2803,0.0019,0.1928,0.0017,0.2692,0.0117,0.4837,0.01,0.6542,0.003,0.494,0.0107,10.0,10.0,285.77822613716125,285.77822613716125,57.19014611073082
6,0.2809,0.0021,0.1928,0.0014,0.2657,0.0145,0.4844,0.0085,0.6543,0.0027,0.4948,0.0089,12.0,10.0,288.38062357902527,288.38062357902527,57.680337120073474
7,0.2805,0.0011,0.1928,0.0012,0.2681,0.0075,0.4851,0.009,0.6547,0.003,0.4953,0.0093,14.0,10.0,298.63312125205994,298.63312125205994,59.74651514181813
8,0.2801,0.0034,0.202,0.0026,0.2702,0.0191,0.4748,0.0074,0.6518,0.0024,0.4835,0.0069,2.0,15.0,681.2283315658569,681.2283315658569,136.29114486819563
9,0.2747,0.0014,0.193,0.0012,0.2981,0.0098,0.479,0.0079,0.6536,0.0027,0.4893,0.0082,4.0,15.0,419.3046774864197,419.3046774864197,83.65758776756199
10,0.2748,0.0013,0.1926,0.0021,0.2974,0.0069,0.4792,0.0091,0.6534,0.003,0.489,0.0098,6.0,15.0,356.0230972766876,356.0230972766876,71.18166439038336
11,0.2762,0.0008,0.1923,0.0015,0.2904,0.0073,0.4796,0.0077,0.6536,0.0026,0.4898,0.0078,8.0,15.0,354.80965876579285,354.80965876579285,71.02368200152588
12,0.2769,0.0016,0.1917,0.001,0.2866,0.0113,0.4803,0.0083,0.6539,0.0026,0.4909,0.0086,10.0,15.0,373.904643535614,373.904643535614,74.5067767106142
13,0.2768,0.0019,0.1918,0.0009,0.2872,0.0124,0.4803,0.0083,0.6536,0.0028,0.4904,0.0087,12.0,15.0,334.7976922988892,334.7976922988892,67.13266904434101
14,0.2759,0.0019,0.1917,0.0013,0.2915,0.0127,0.481,0.0079,0.654,0.0026,0.4912,0.0084,14.0,15.0,318.95381593704224,318.95381593704224,64.0070383943001
15,0.2801,0.0034,0.202,0.0026,0.2702,0.0191,0.4748,0.0074,0.6518,0.0024,0.4835,0.0069,2.0,15.0,627.7792944908142,627.7792944908142,125.42958370047297
16,0.2829,0.0013,0.2043,0.0012,0.2554,0.0101,0.474,0.0077,0.6518,0.0024,0.482,0.0079,2.0,16.0,683.049729347229,683.049729347229,136.56167831115516
17,0.282,0.0022,0.2036,0.0015,0.2598,0.0131,0.4747,0.0078,0.6519,0.0025,0.4831,0.008,2.0,17.0,896.7909555435181,896.7909555435181,179.1825530401416
18,0.2819,0.001,0.204,0.0007,0.2608,0.0074,0.4749,0.0079,0.6519,0.0024,0.483,0.008,2.0,18.0,740.4395475387573,740.4395475387573,148.22778560446903
19,0.2806,0.0008,0.2031,0.0007,0.2674,0.0076,0.4754,0.0076,0.652,0.0024,0.4834,0.0079,2.0,19.0,780.2518644332886,780.2518644332886,155.83812842916853
20,0.2828,0.001,0.2047,0.0009,0.2556,0.0085,0.4748,0.0079,0.6519,0.0025,0.483,0.0083,2.0,20.0,841.8758161067963,841.8758161067963,168.33066781931066
21,0.2811,0.0014,0.2041,0.001,0.2648,0.0101,0.4744,0.0077,0.6519,0.0025,0.4823,0.0076,2.0,21.0,774.0089774131775,774.0089774131775,154.63001150107397
22,0.2796,0.001,0.2029,0.0008,0.2728,0.0082,0.4756,0.0077,0.6522,0.0026,0.4834,0.0078,2.0,22.0,807.4023175239563,807.4023175239563,161.49065436019353
23,0.2822,0.0009,0.205,0.001,0.2592,0.0079,0.4751,0.0072,0.6524,0.0025,0.4839,0.0079,2.0,23.0,828.9893519878387,828.9893519878387,165.4390245432698
24,0.2823,0.0007,0.2049,0.0006,0.2585,0.0069,0.4764,0.0073,0.6526,0.0025,0.4847,0.0075,2.0,24.0,745.085382938385,745.085382938385,149.28236891615015
25,0.2819,0.0005,0.2052,0.0004,0.2605,0.005,0.4754,0.0075,0.6525,0.0024,0.484,0.0075,2.0,25.0,875.9874997138977,875.9874997138977,175.0045786579383
26,0.2745,0.0018,0.1975,0.0015,0.2988,0.0115,0.4759,0.0081,0.6523,0.0025,0.4842,0.0086,3.0,15.0,844.995404958725,844.995404958725,169.01105992836827
27,0.2754,0.0015,0.1985,0.0012,0.2943,0.0105,0.4751,0.008,0.6518,0.0025,0.4829,0.0082,3.0,16.0,835.8484320640564,835.8484320640564,167.12718180385724
28,0.2737,0.0013,0.1967,0.0011,0.3029,0.0086,0.476,0.008,0.6526,0.0025,0.4849,0.0081,3.0,17.0,858.0848801136017,858.0848801136017,171.46455312033584
29,0.2786,0.0008,0.2014,0.0007,0.2779,0.0071,0.4749,0.0076,0.652,0.0025,0.4831,0.0079,3.0,18.0,800.9892339706421,800.9892339706421,160.02029076680122
30,0.2768,0.0012,0.2005,0.0007,0.2874,0.0081,0.4757,0.0081,0.6525,0.0026,0.4839,0.0084,3.0,19.0,809.5649540424347,809.5649540424347,162.10027051719743
31,0.2755,0.0008,0.1991,0.0011,0.2937,0.007,0.4757,0.0078,0.6522,0.0027,0.4839,0.0083,3.0,20.0,707.6531004905701,707.6531004905701,141.42549197949361
32,0.2745,0.0021,0.1956,0.0009,0.2991,0.0128,0.4769,0.0079,0.6531,0.0027,0.4872,0.0087,3.0,21.0,711.104177236557,711.104177236557,142.27506948423886
33,0.273,0.0011,0.197,0.0013,0.3064,0.0084,0.4776,0.0078,0.6532,0.0026,0.4865,0.0084,3.0,22.0,799.1535286903381,799.1535286903381,159.67040636098878
34,0.2789,0.001,0.2027,0.0008,0.2763,0.0084,0.4759,0.0081,0.6528,0.0025,0.4843,0.0082,3.0,23.0,770.9271676540375,770.9271676540375,154.05599724443795
35,0.2761,0.002,0.1997,0.0022,0.2905,0.0101,0.4757,0.0075,0.6527,0.0024,0.4845,0.0071,3.0,24.0,833.6509521007538,833.6509521007538,166.82463985016832
36,0.2773,0.0008,0.2011,0.0009,0.2845,0.0067,0.4775,0.0081,0.6532,0.0026,0.4858,0.0081,3.0,25.0,736.4011130332947,736.4011130332947,147.46630430588118
37,0.2747,0.0014,0.193,0.0012,0.2981,0.0098,0.479,0.0079,0.6536,0.0027,0.4893,0.0082,4.0,15.0,368.180769443512,368.180769443512,73.601090608237
38,0.2761,0.0013,0.1928,0.0019,0.2907,0.0077,0.4784,0.008,0.6535,0.0026,0.4893,0.0083,4.0,16.0,371.9552927017212,371.9552927017212,74.10667456601615
39,0.2747,0.0018,0.1978,0.0014,0.2979,0.0109,0.4759,0.0082,0.6526,0.0024,0.4843,0.0082,4.0,17.0,740.1501951217651,740.1501951217651,148.42963024030306
40,0.2728,0.0011,0.1949,0.0015,0.3074,0.0073,0.4767,0.0076,0.6529,0.0025,0.4862,0.0079,4.0,18.0,811.8615250587463,811.8615250587463,162.20099515010244
